Age,Job,Marital,Education,Default,Housing,Loan,Contact,Month,Day of the week,Call Duration,Campaign,Pdays,Previous,poutcome,emp.var.rate,cons.price.idx,cons.conf.idx,euribor3m,nr.employed,y
56,Housemaid,Married,Basic 4Y,No,No,No,Telephone,May,Mon,261,1,999,0,Nonexistent,1.1,93.994,-36.4,4.857,5191,No
57,Services,Married,High School,Unknown,No,No,Telephone,May,Mon,149,1,999,0,Nonexistent,1.1,93.994,-36.4,4.857,5191,No
37,Services,Married,High School,No,Yes,No,Telephone,May,Mon,226,1,999,0,Nonexistent,1.1,93.994,-36.4,4.857,5191,No
40,Admin,Married,Basic 6Y,No,No,No,Telephone,May,Mon,151,1,999,0,Nonexistent,1.1,93.994,-36.4,4.857,5191,No
56,Services,Married,High School,No,No,Yes,Telephone,May,Mon,307,1,999,0,Nonexistent,1.1,93.994,-36.4,4.857,5191,No
45,Services,Married,Basic 9Y,Unknown,No,No,Telephone,May,Mon,198,1,999,0,Nonexistent,1.1,93.994,-36.4,4.857,5191,No
59,Admin,Married,Professional Course,No,No,No,Telephone,May,Mon,139,1,999,0,Nonexistent,1.1,93.994,-36.4,4.857,5191,No
41,Blue-Collar,Married,Unknown,Unknown,No,No,Telephone,May,Mon,217,1,999,0,Nonexistent,1.1,93.994,-36.4,4.857,5191,No
24,Technician,Single,Professional Course,No,Yes,No,Telephone,May,Mon,380,1,999,0,Nonexistent,1.1,93.994,-36.4,4.857,5191,No
25,Services,Single,High School,No,Yes,No,Telephone,May,Mon,50,1,999,0,Nonexistent,1.1,93.994,-36.4,4.857,5191,No
41,Blue-Collar,Married,Unknown,Unknown,No,No,Telephone,May,Mon,55,1,999,0,Nonexistent,1.1,93.994,-36.4,4.857,5191,No
25,Services,Single,High School,No,Yes,No,Telephone,May,Mon,222,1,999,0,Nonexistent,1.1,93.994,-36.4,4.857,5191,No
29,Blue-Collar,Single,High School,No,No,Yes,Telephone,May,Mon,137,1,999,0,Nonexistent,1.1,93.994,-36.4,4.857,5191,No
57,Housemaid,Divorced,Basic 4Y,No,Yes,No,Telephone,May,Mon,293,1,999,0,Nonexistent,1.1,93.994,-36.4,4.857,5191,No
35,Blue-Collar,Married,Basic 6Y,No,Yes,No,Telephone,May,Mon,146,1,999,0,Nonexistent,1.1,93.994,-36.4,4.857,5191,No
54,Retired,Married,Basic 9Y,Unknown,Yes,Yes,Telephone,May,Mon,174,1,999,0,Nonexistent,1.1,93.994,-36.4,4.857,5191,No
35,Blue-Collar,Married,Basic 6Y,No,Yes,No,Telephone,May,Mon,312,1,999,0,Nonexistent,1.1,93.994,-36.4,4.857,5191,No
46,Blue-Collar,Married,Basic 6Y,Unknown,Yes,Yes,Telephone,May,Mon,440,1,999,0,Nonexistent,1.1,93.994,-36.4,4.857,5191,No
50,Blue-Collar,Married,Basic 9Y,No,Yes,Yes,Telephone,May,Mon,353,1,999,0,Nonexistent,1.1,93.994,-36.4,4.857,5191,No
39,Management,Single,Basic 9Y,Unknown,No,No,Telephone,May,Mon,195,1,999,0,Nonexistent,1.1,93.994,-36.4,4.857,5191,No
30,Unemployed,Married,High School,No,No,No,Telephone,May,Mon,38,1,999,0,Nonexistent,1.1,93.994,-36.4,4.857,5191,No
55,Blue-Collar,Married,Basic 4Y,Unknown,Yes,No,Telephone,May,Mon,262,1,999,0,Nonexistent,1.1,93.994,-36.4,4.857,5191,No
55,Retired,Single,High School,No,Yes,No,Telephone,May,Mon,342,1,999,0,Nonexistent,1.1,93.994,-36.4,4.857,5191,No
41,Technician,Single,High School,No,Yes,No,Telephone,May,Mon,181,1,999,0,Nonexistent,1.1,93.994,-36.4,4.857,5191,No
37,Admin,Married,High School,No,Yes,No,Telephone,May,Mon,172,1,999,0,Nonexistent,1.1,93.994,-36.4,4.857,5191,No
35,Technician,Married,University Degree,No,No,Yes,Telephone,May,Mon,99,1,999,0,Nonexistent,1.1,93.994,-36.4,4.857,5191,No
